Referring domain,Best referring subpage path,Best referring subpage traffic,Referring domain traffic,Referring domain number of referring domains,Referred domain
tripadvisor.com.au,/,97066,28308891,16068,istanbulairportshuttle.com
tripadvisor.com.au,/Attraction_Review-g255060-d258583-Reviews-Paddy_s_Market-Sydney_New_South_Wales.html,11370,28308891,16068,tripadvisor.com
tripadvisor.com.au,/ShowTopic-g294211-i642-k8835761-Review_on_Klook-China.html,195,28308891,16068,klook.com
tripadvisor.com.au,/Travel-g255060-s403/Sydney:Australia:Off.The.Beaten.Path.html,148,28308891,16068,viator.com
tripadvisor.com.au,/ShowTopic-g293974-i368-k1787072-Athens_to_istanbul_train_v_ferry-Istanbul.html,101,28308891,16068,turkeytravelplanner.com
tripadvisor.com.au,/ShowTopic-g32655-i61-k11666580-Transportation_from_LAX_to_Universal_Studios-Los_Angeles_California.html,30,28308891,16068,jayride.com
tripadvisor.com.au,/ShowTopic-g189158-i203-k5840286-Sintra_day_trip-Lisbon_Lisbon_District_Central_Portugal.html,18,28308891,16068,getyourguide.com
tripadvisor.com.au,/ShowTopic-g186217-i16-k4426860-Rental_car_in_England_Different_Drop_off-England.html,14,28308891,16068,sixt.com
tripadvisor.com.au,/Travel-g190311-c120202/Malta:Travelling.To.From.Malta.Airport.html,7,28308891,16068,shuttledirect.com
tripadvisor.com.au,/ShowTopic-g293974-i368-k5841455-Transfer_from_Ataturk_to_Sabiha_Gokcen-Istanbul.html,4,28308891,16068,efenditravel.com
tripadvisor.com.au,/ShowTopic-g187323-i135-k9436948-Does_Uber_pick_up_at_Tegel_Airport-Berlin.html,1,28308891,16068,blacklane.com
tripadvisor.ie,/,378,342897,4181,istanbulairportshuttle.com
tripadvisor.ie,/,378,342897,4181,istanbultransfer.net
tripadvisor.ie,/,378,342897,4181,turkeytravelplanner.com
tripadvisor.ie,/ShowTopic-g297549-i9198-k12304630-Weather_currently-Hurghada_Red_Sea_and_Sinai.html,79,342897,4181,tripadvisor.com
tripadvisor.ie,/Travel-g190311-c120202/Malta:Travelling.To.From.Malta.Airport.html,12,342897,4181,shuttledirect.com
tripadvisor.ie,/ShowTopic-g187791-i22-k12071508-Rome_in_December_2018-Rome_Lazio.html,5,342897,4181,blacklane.com
tripadvisor.ie,/ShowTopic-g293910-i9303-k11398550-SIM_Card_Which_Terminal_and_Klook-Taiwan.html,5,342897,4181,klook.com
tripadvisor.ie,/ShowTopic-g293974-i368-k5841455-Transfer_from_Ataturk_to_Sabiha_Gokcen-Istanbul.html,2,342897,4181,efenditravel.com
tripadvisor.ie,/ShowTopic-g1-i12105-k11346994-Viator_10_off_Newsletter_signup_Promotion_is_not_working-TripAdvisor_Support.html,2,342897,4181,viator.com
tripadvisor.ie,/ShowTopic-g189158-i203-k5840286-Sintra_day_trip-Lisbon_Lisbon_District_Central_Portugal.html,1,342897,4181,getyourguide.com
tripadvisor.ie,/ShowTopic-g295371-i1555-k8117522-Sixt_Car_Rental_from_DBV_to_LJU-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,1,342897,4181,sixt.com
tripadvisor.co.uk,/Attraction_Review-g186338-d188901-Reviews-Harrods-London_England.html,25222,95959571,72520,tripadvisor.com
tripadvisor.co.uk,/Travel-g293969-c177513/Turkey:Electric.Plugs.And.Sockets.html,1058,95959571,72520,turkeytravelplanner.com
tripadvisor.co.uk,/Travel-g187479-c53035/Tenerife:Spain:Taxi.Tariffs.html,1037,95959571,72520,shuttledirect.com
tripadvisor.co.uk,/ShowTopic-g189970-i594-k10566365-Best_way_to_get_from_Keflavik_airport_to_Reykjavik-Reykjavik_Capital_Region.html,774,95959571,72520,getyourguide.com
tripadvisor.co.uk,/ShowTopic-g186338-i17-k6261912-Need_info_on_365tickets_com-London_England.html,409,95959571,72520,viator.com
tripadvisor.co.uk,/ShowTopic-g294217-i1496-k8960533-Buying_disneyland_tickets_from_klook-Hong_Kong.html,398,95959571,72520,klook.com
tripadvisor.co.uk,/ShowTopic-g187785-i421-k7572374-Car_rental-Naples_Province_of_Naples_Campania.html,218,95959571,72520,sixt.com
